ลำดับ,เพศ,จังหวัดที่อาศัย,โรงเรียน,สำเร็จการศึกษาจาก,จังหวัด,เกรดเฉลี่ยสะสม,รายได้ครอบครัว,หลักสูตรที่เข้าศึกษา,ปัจจัยสถาบันการศึกษา1,ปัจจัยสถาบันการศึกษา2,ปัจจัยสถาบันการศึกษา3,ปัจจัยสถาบันการศึกษา4,ปัจจัยสถาบันการศึกษา5,ปัจจัยสถาบันการศึกษา6,ปัจจัยด้านโปรแกรมการศึกษา/หลักสูตร1,ปัจจัยด้านโปรแกรมการศึกษา/หลักสูตร2,ปัจจัยด้านโปรแกรมการศึกษา/หลักสูตร3,ปัจจัยด้านโปรแกรมการศึกษา/หลักสูตร4,ปัจจัยด้านโปรแกรมการศึกษา/หลักสูตร5,ปัจจัยด้านโปรแกรมการศึกษา/หลักสูตร6,ปัจจัยในการตัดสินใจ1,ปัจจัยในการตัดสินใจ2,ปัจจัยในการตัดสินใจ3,ปัจจัยในการตัดสินใจ4,ปัจจัยด้านเหตุผลส่วนตัว1,ปัจจัยด้านเหตุผลส่วนตัว2,ปัจจัยด้านเหตุผลส่วนตัว3,ปัจจัยด้านเหตุผลส่วนตัว4,ปัจจัยด้านเหตุผลส่วนตัว5,ปัจจัยด้านสื่อและการประชาสัมพันธ์1,ปัจจัยด้านสื่อและการประชาสัมพันธ์2,ปัจจัยด้านสื่อและการประชาสัมพันธ์3,ปัจจัยด้านสื่อและการประชาสัมพันธ์4,ปัจจัยด้านสื่อและการประชาสัมพันธ์5,จัดการเรียนการสอนที่ศูนย์แม่ริม,ความคาดหวังที่นักศึกษาคิดว่าจะได้รับ,ข้อเสนอแนะ
223,ญ,เชียงใหม่,สถาบันอาชีวศึกษา,วิทยาลัยอาชีวศึกษาเชียงใหม่,เชียงใหม่,3.81,"10,001-20,000",         คหกรรมศาสตร์                 (อาหารและโภชนาการ),4,3,5,5,5,4,4,4,3,4,5,4,4,3,1,1,3,1,1,1,1,2,2,1,1,5,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,"1. ได้รับความสะดวกในการศึกษาเล่าเรียน
2. อุปกรณ์  สถานที่  พร้อมที่จะให้เรียนได้",
224,ช,แม่ฮ่องสอน,มัธยมศึกษาของเอกชน,แม่ลาน้อยดรุณสิกข์,แม่ฮ่องสอน,2.63,"10,001-20,000",         คหกรรมศาสตร์                 (อาหารและโภชนาการ),4,3,4,4,4,3,4,3,4,3,5,4,3,3,3,,4,4,3,4,,4,4,4,5,5,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,"1. เกรดดี
2. ได้เพื่อนใหม่",
225,ญ,แม่ฮ่องสอน,มัธยมศึกษาของรัฐ,ราชประชานุเคราะห์ 21,แม่ฮ่องสอน,,"ไม่เกิน 10,000",         คหกรรมศาสตร์                 (อาหารและโภชนาการ),4,3,4,1,3,4,4,4,3,4,5,5,3,4,4,3,4,2,3,2,4,3,3,3,3,4,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,"1. ประสบการณ์
2. มีงานที่ดี",
226,ญ,แม่ฮ่องสอน,มัธยมศึกษาของรัฐ,,,3.68,"ไม่เกิน 10,000",         คหกรรมศาสตร์                 (อาหารและโภชนาการ),5,5,3,3,1,4,4,4,3,4,4,3,3,4,3,2,1,1,1,1,4,4,4,4,3,3,"ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม
ข้อเสนอแนะ  อยากให้ที่ศูนย์แม่มริมมีงานทำ","1. อยากเรียนให้จบปริญญาตรี
2. อยากทำงานที่ตัวเองอยากทำ",
227,ญ,เชียงใหม่,สถาบันอาชีวศึกษา,วิทยาลัยอาชีวศึกษาเชียงใหม่,เชียงใหม่,3.60,"10,001-20,000",         คหกรรมศาสตร์                 (อาหารและโภชนาการ),4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,2,5,ไม่สะดวก/ไม่ยินดีในการศึกษาต่อ เนื่องจาก  ไกลจากบ้าน,"1. เรียนจบภายใน 4 ปี
2. ไม่ติด F  ทุกวิชา",อยากเน้นเรื่องอาหารมากกว่านี้อีก
228,ญ,เชียงใหม่,มัธยมศึกษาของรัฐ,สารภีพิทยาคม,เชียงใหม่,,"10,001-20,000",         คหกรรมศาสตร์                 (อาหารและโภชนาการ),4,4,2,2,3,,3,4,4,4,4,4,3,3,3,3,2,1,3,3,3,4,3,4,4,4,ไม่สะดวก/ไม่ยินดีในการศึกษาต่อ เนื่องจาก  บ้านอยู่ไกล  ไม่ได้อยู่หอ ค่าใช้จ่ายเยอะ,1. มีงานทำที่ดี,
229,ญ,เชียงใหม่,มัธยมศึกษาของรัฐ,ดอยสะเก็ดวิทยาคม,เชียงใหม่,3.80,"ไม่เกิน 10,000",         คหกรรมศาสตร์                 (อาหารและโภชนาการ),2,2,5,5,4,5,3,3,3,2,2,4,3,4,3,1,3,1,1,1,2,1,1,1,1,4,ข้อเสนอแนะ  ไม่อยากเจอดินแดง  ในป่า  อยากอยู่ในตัวเมือง แต่ก็ไปเรียนที่ศูนย์แม่ริมได้,"1. สังคมดี
2. เพื่อนที่ดี
3. ความรู้                                                  4. จบไปสามารถมีงานทำ",
230,ช,พะเยา,สถาบันอาชีวศึกษา,วิทยาลัยเทคโนโลยีโปลิเทคนิคลานนา,เชียงใหม่,3.91,"ไม่เกิน 10,000",เทคโนโลยีวิศวกรรมก่อสร้าง,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,,
231,ช,เชียงราย,มัธยมศึกษาของเอกชน,เด็กดีพิทยาคม,เชียงราย,2.98,"30,001 ขึ้นไป",เทคโนโลยีวิศวกรรมก่อสร้าง,5,4,4,4,4,4,4,5,5,4,4,4,5,4,5,4,5,5,4,5,5,5,5,4,5,5,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,"1. ประสบความสำเร็จ
2. มีงานทำ",
232,ช,เชียงใหม่,มัธยมศึกษาของรัฐ,หางดงรัฐราษฎร์อุปถัมภ์,เชียงใหม่,2.81,"10,001-20,000",เทคโนโลยีวิศวกรรมก่อสร้าง,4,4,4,4,4,4,4,4,4,4,4,4,3,1,4,4,4,3,3,3,3,4,4,4,4,4,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,"1. ความรู้
2. ความสามารถ
3. ความเข้าใจ                                            4. การใช้ชีวิตในสังคม",
233,ช,เชียงราย,มัธยมศึกษาของรัฐ,บ้านด้ายเทพกาญจนาอุปถัมภ์,เชียงราย,3.28,"10,001-20,000",เทคโนโลยีวิศวกรรมก่อสร้าง,4,3,3,2,3,4,4,4,3,3,3,3,3,3,3,3,4,3,3,3,3,3,4,3,3,4,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,"1. ทักษะความคิดและการนำไปใช้ในชีวิต
2. ทักษะการทำงาน
3. การเป็นที่ยอมรับของสังคม",
234,ช,เชียงใหม่,มัธยมศึกษาของรัฐ,กาวิละวิทยาลัย,เชียงใหม่,3.54,"ไม่เกิน 10,000",เทคโนโลยีวิศวกรรมก่อสร้าง,4,3,4,3,4,4,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,2,4,"ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม
ข้อเสนอแนะ  ขอให้มีการสอนที่มั่นคง ไม่ย้ายไปย้ายมา","1. เข้ามาเพื่อหาประสบการณ์
2. เข้ามาเพื่อศึกษาหาความรู้
3. จบไปหวังว่าจะมีงานทำ",ขอให้ทางมหาวิทยาลัยอย่าให้ไปกลับจากเวียงัวไปแม่ริม หรือ จากแม่ริมมาเวียงบัว เพราะคนอยู่หอพักที่แม่ริมลำบาก
235,ญ,สตูล,อื่นๆ ( ต่างประเทศ ),,,3.92,"20,001-30,000 ",เทคโนโลยีสารสนเทศ,3,3,3,1,4,3,4,3,3,4,4,4,3,3,2,1,1,1,1,1,3,2,1,1,1,1,"ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม
ข้อเสนอแนะ  ขอให้ในวันศุกร์มีคาบว่าง ตั้งแต่เที่ยงไปถึงบ่าย","1. หวังว่าจะได้รับความรู้และวัฒนธรรมภาคเหนือสักเล็กน้อย
2. ได้รับประสบการณ์ในรั้วมหาวิทยาลัยและเพื่อที่ดี
3. ได้ฝึก SKILL และความรู้ในสาขาที่เลือกเต็มที่",ขอให้มีคาบว่างในวันศุกร์เที่ยงถึงบ่าย เพราะมีละหมาดวันศุกร์
236,ช,เชียงใหม่,มัธยมศึกษาของรัฐ,วัฒโนทัยพายัพ,เชียงใหม่,3.04,"30,001 ขึ้นไป",วิทยาการคอมพิวเตอร์,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,5,5,5,5,5,1,ไม่สะดวก/ไม่ยินดีในการศึกษาต่อ เนื่องจาก  ไกลบ้านเดินทางลำบาก,,
237,ช,เชียงใหม่,มัธยมศึกษาของรัฐ,เชตุพนศึกษา,เชียงใหม่,2.23,"20,001-30,000 ",วิทยาการคอมพิวเตอร์,3,3,3,5,3,4,3,3,3,3,3,3,3,3,3,3,5,3,3,3,3,3,3,4,4,3,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,,
238,ช,เชียงใหม่,มัธยมศึกษาของรัฐ,สันป่าตองวิทยาคม,เชียงใหม่,3.42,"10,001-20,000",วิทยาการคอมพิวเตอร์,3,3,3,3,3,3,4,3,3,3,3,3,3,3,2,2,3,2,2,2,2,3,3,3,3,3,ข้อเสนอแนะ  ไม่ค่อยอยากไปไกลเมืองเท่าไหร่,"1. เจอเพื่อนและครูที่ดี
2. ได้ฝึกประสบการณ์เยอะๆ
3. อยากได้งานรองรับตอนสำเร็จการศึกษา           4. อยากทำงานได้เงินดีๆ เพราะยังมีอีกหลายคนต้องเลี้ยงดู",ขอสูตรลัดที่ง่ายและเข้าใจ
239,ช,สมุทรปราการ,สถาบันอาชีวศึกษา,เกริกวิทยาลัย,สมุทรปราการ,2.00,"30,001 ขึ้นไป",วิทยาการคอมพิวเตอร์,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,,
240,ช,แพร่,มัธยมศึกษาของรัฐ,ร้องกวางอนุสรณ์,แพร่,2.00,"10,001-20,000",วิทยาการคอมพิวเตอร์,5,5,5,1,4,1,5,5,5,5,5,5,4,4,5,5,1,1,3,3,5,4,4,4,4,4,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,,
241,ญ,เชียงใหม่,มัธยมศึกษาของเอกชน,มงฟอร์ตวิทยาลัย,เชียงใหม่,3.06,"10,001-20,000",         คหกรรมศาสตร์                 (อาหารและโภชนาการ),4,4,5,5,5,5,5,5,5,5,5,5,5,4,5,5,4,4,4,5,5,5,5,5,4,4,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,"1. จบมหาวิทยาลัยโดยไม่ติด F 
2. ความหวังให้เจอรุ่นพี่ที่ดี
3. คาดหวังว่าสามารถนำความรู้ไปใช้ได้จริง          4. มีความรับผิดชอบเพิ่มขึ้น",
242,ญ,เชียงใหม่,มัธยมศึกษาของเอกชน,เรยีนาเชลีวิทยาลัย,เชียงใหม่,1.50,"10,001-20,000",         คหกรรมศาสตร์                 (อาหารและโภชนาการ),4,3,2,4,3,3,3,2,4,3,4,3,3,4,3,2,2,3,2,4,5,3,2,4,2,4,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,"1. ขอไม่ได้เกรด F
2. ได้เพื่อนดี
3. เรียนดีมีสาระ
4. อุปกรณ์การเรียนดี
5. รับน้องดี
6. กิจกรรมมั่งนคง",
243,ญ,แม่ฮ่องสอน,มัธยมศึกษาของรัฐ,ขุนยวมวิทยา,แม่ฮ่องสอน,3.24,"10,001-20,000",         คหกรรมศาสตร์                 (อาหารและโภชนาการ),4,4,4,3,4,4,3,4,4,4,4,4,3,3,3,3,3,1,3,3,3,4,4,4,4,4,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,"1. เรียนรู้และได้ทักษะอย่างเต็มประสิทธิภาพ
2. ได้รับการช่วยเหลือและบริการที่ทั่วถึง",
244,ญ,ตาก,มัธยมศึกษาของรัฐ,บ้านแม่สลิดหลวงวิทยา,ตาก,,"ไม่เกิน 10,000",         คหกรรมศาสตร์                 (อาหารและโภชนาการ),4,4,4,1,3,4,4,4,4,4,4,4,3,3,3,2,2,2,2,1,4,2,2,2,3,4,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,"1. จบมามีงานทำ
2. ได้รับความรู้จากคณะ",
245,ช,เชียงใหม่,มัธยมศึกษาของรัฐ,จอมทอง,เชียงใหม่,2.52,"10,001-20,000",ออกแบบผลิตภัณฑ์,4,3,4,5,4,3,4,4,4,4,4,5,3,3,4,4,3,3,3,3,3,4,4,4,3,4,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,1. มีอาจารย์คอยแนะนำในการเรียน,
246,ช,ตาก,มัธยมศึกษาของรัฐ,ท่าสองยางวิทยาคม,ตาก,3.34,"10,001-20,000",สาธารณสุขชุมชน,4,4,3,3,3,2,3,4,3,5,4,5,3,4,4,3,4,2,3,4,4,4,4,4,4,5,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,,
247,ช,เชียงใหม่,สถาบันอาชีวศึกษา,วิทยาลัยเทคโนโลยีโปลิเทคนิคลานนา,เชียงใหม่,2.53,"10,001-20,000",เทคโนโลยีสารสนเทศ,4,4,4,4,4,4,5,5,4,5,5,4,4,3,3,3,5,5,4,4,4,3,3,3,3,3,ไม่สะดวก/ไม่ยินดีในการศึกษาต่อ เนื่องจาก  ไกลจากบ้าน 100 กิโลเมตร ซึ่งน้ำมันแพง เปลือง,,
248,ญ,เชียงใหม่,มัธยมศึกษาของเอกชน,เชียงใหม่มัธยม,เชียงใหม่,2.77,"ไม่เกิน 10,000",อาชีวอนามัยและความปลอดภัย,4,4,4,4,5,5,4,4,4,5,5,5,4,4,4,4,5,3,5,5,5,5,5,5,5,5,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,,
249,ญ,เชียงใหม่,มัธยมศึกษาของรัฐ,แม่แจ่ม,เชียงใหม่,2.57,"ไม่เกิน 10,000",อาชีวอนามัยและความปลอดภัย,4,3,4,5,5,1,4,3,4,3,4,3,3,2,3,,2,2,3,2,2,2,2,2,1,2,"ไม่สะดวก/ไม่ยินดีในการศึกษาต่อ เนื่องจาก  ขับรถไม่ค่อยเก่ง
ข้อเสนอแนะ ไม่ต้องไปเรียนบ่อยในบางครั้ง",,
250,ญ,เชียงใหม่,มัธยมศึกษาของรัฐ,แม่แจ่ม,เชียงใหม่,2.74,"10,001-20,000",อาชีวอนามัยและความปลอดภัย,4,3,5,4,3,2,4,3,4,4,4,4,4,4,5,5,4,1,3,5,5,4,4,4,4,4,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,,
251,ญ,สุโขทัย,มัธยมศึกษาของรัฐ,ทุ่งเสลี่ยมชนูปถัมภ์,สุโขทัย,3.14,"ไม่เกิน 10,000",อาชีวอนามัยและความปลอดภัย,4,4,4,3,4,4,4,4,3,3,4,4,4,4,3,3,4,3,3,3,4,4,3,3,3,4,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,,
252,ช,ลำปาง,มัธยมศึกษาของรัฐ,แห่มวิทยา,ลำปาง,3.65,"10,001-20,000",อาชีวอนามัยและความปลอดภัย,4,5,4,4,4,4,5,4,4,5,5,4,4,4,4,5,4,3,4,4,4,4,4,4,4,4,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,1. คาดว่าได้รับความรู้และประสบการณ์ต่างๆ จากมหาวิทยาลัย,
253,ญ,เชียงใหม่,มัธยมศึกษาของรัฐ,พร้าววิทยาคม,เชียงใหม่,2.90,"20,001-30,000 ",อาชีวอนามัยและความปลอดภัย,3,3,4,3,3,4,4,3,3,3,3,3,3,2,3,3,3,1,3,2,3,3,3,3,3,3,ไม่สะดวก/ไม่ยินดีในการศึกษาต่อ เนื่องจาก  ไกล,1. ได้ที่ทำงานดีๆ,
254,ญ,เชียงใหม่,มัธยมศึกษาของรัฐ,นวมินทราชูทิศพายัพ,เชียงใหม่,2.94,"ไม่เกิน 10,000",อาชีวอนามัยและความปลอดภัย,5,5,5,5,5,5,5,5,4,5,5,5,4,4,4,4,3,5,5,4,5,5,5,5,5,5,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,"1. นำความรู้ไปใช้ในอาชีพในอาคต
2. นำไปประยุกต์ใช้ในชีวิตประจำวัน
3. รอบรู้ความปลอดภัยต่างๆ ในอาชีพในอนาคต",
255,ญ,เชียงใหม่,มัธยมศึกษาของเอกชน,โกวิทธำรงค์,เชียงใหม่,2.85,"ไม่เกิน 10,000",อาชีวอนามัยและความปลอดภัย,4,4,5,4,3,3,4,4,3,,4,4,3,,4,4,5,1,3,2,5,4,4,4,4,4,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,"1. ความรู้
2. ประสบการณ์
3. ได้พัฒนาตัวเอง
4. จบการศึกษา
5. ทำฝันให้สำเร็จ
6. มีวินัยต่อตนเอง",
256,ญ,เชียงใหม่,มัธยมศึกษาของเอกชน,โกวิทธำรงค์,เชียงใหม่,2.82,"10,001-20,000",อาชีวอนามัยและความปลอดภัย,4,4,5,4,5,5,4,5,4,4,4,4,5,4,5,5,4,1,4,4,4,4,4,5,4,5,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,"1. จบมามีงานทำที่ดี
2. อาจารย์เข้าใจเด็กช่วยเหลือนักศึกษา
3. พี่ๆให้ความช่วยเหลือที่ดี",
257,ช,เชียงใหม่,มัธยมศึกษาของเอกชน,เชียงใหม่คริสเตียน,เชียงใหม่,2.48,"ไม่เกิน 10,000",วิทยาการคอมพิวเตอร์,4,4,4,5,5,5,5,4,4,4,4,5,4,3,4,2,5,1,3,2,4,4,3,4,4,5,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,"1. ทักษธในการทำงาน
2. ทักษะในการใช้ชีวิต
3. เรียนรู้การใช้ชีวิตในรั้วมหาวิทยาลัย
4. คาดหวังว่าจะได้รับการแนะนำและนำในการหางานทำและมีที่งานทำ",
258,ช,เชียงใหม่,มัธยมศึกษาของรัฐ,แม่แตง,เชียงใหม่,3.32,"ไม่เกิน 10,000",คณิตศาสตร์,4,5,3,3,4,5,5,5,4,4,5,5,3,3,4,3,2,2,4,3,3,3,3,3,3,4,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,,
259,ญ,เชียงใหม่,มัธยมศึกษาของรัฐ,สาภีพิทยาคม,เชียงใหม่,3.70,"10,001-20,000",คณิตศาสตร์,4,3,5,5,5,4,4,4,3,3,5,5,5,5,4,5,3,1,4,3,4,5,5,4,4,5,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,1. ได้รับความรู้ที่สามารถนำไปต่อยอดทางอาชีพได้,
260,ญ,ตาก,มัธยมศึกษาของรัฐ,แม่ปะวิทยาคม,ตาก,3.61,"ไม่เกิน 10,000",คณิตศาสตร์,4,3,4,1,3,5,3,4,3,3,3,4,3,3,4,4,1,2,2,2,4,4,3,4,4,4,ไม่สะดวก/ไม่ยินดีในการศึกษาต่อ เนื่องจาก  ไม่สะดวกไปไกล,"1. ได้ความรู้
2. มีทักษะชีวิตมากขึ้น",
261,ญ,แม่ฮ่องสอน,มัธยมศึกษาของรัฐ,ขุนยวมวิทยา,แม่ฮ่องสอน,3.34,"30,001 ขึ้นไป",คณิตศาสตร์,4,4,4,3,3,3,4,3,3,4,3,3,4,3,3,3,3,3,3,3,3,3,3,4,4,4,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,"1. ได้ความรู้
2. ทักษะชีวิต",
262,ญ,ชัยภูมิ,มัธยมศึกษาของรัฐ,สตรีชัยภูมิ,ชัยภูมิ,2.67,"10,001-20,000",ออกแบบผลิตภัณฑ์,4,4,5,1,4,5,4,4,4,4,4,5,3,3,5,3,2,1,1,1,5,4,4,5,4,5,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,,
263,ญ,เชียงใหม่,มัธยมศึกษาของรัฐ,สันกำแพง,เชียงใหม่,2.00,"10,001-20,000",ออกแบบผลิตภัณฑ์,5,4,5,5,4,5,5,4,4,3,3,4,5,4,5,5,5,5,4,5,5,5,4,5,5,5,ข้อเสนอแนะ  อยากให้เรียนสลับสถานที่เพื่อความสะดวก,"1. การสามารถเข้าทำงานได้
2. มีความรู้มากมาย
3. สามารถนำไปใช้ได้",
264,ญ,เพชรบูรณ์,มัธยมศึกษาของรัฐ,หนองไผ่,เพชรบูรณ์,3.06,"10,001-20,000",ออกแบบผลิตภัณฑ์,4,4,4,1,4,4,5,5,5,5,4,4,5,5,4,1,1,1,1,1,4,5,5,5,5,5,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,"1. ได้เรียนในหลักสูตรที่ตัวเองชอบ
2. ได้รับความรู้ที่เป็นที่ต้องการของตลาด
3. ได้รับคำแนะนำจากอาจารย์
4. ได้รับเพื่อใหม่
5. มีงานระหว่างเรียน",
265,ญ,กาฬสินธุ์,มัธยมศึกษาของรัฐ,ร่องคำ,กาฬสินธุ์,3.62,"10,001-20,000",สาธารณสุขชุมชน,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,5,5,5,5,5,5,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,,
266,ญ,แม่ฮ่องสอน,มัธยมศึกษาของรัฐ,ห้องสอนศึกษา ในพระอุปถัมภ์ฯ,แม่ฮ่องสอน,2.54,"20,001-30,000 ",ออกแบบผลิตภัณฑ์,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,3,1,1,3,3,2,3,3,3,3,3,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,"1. ได้รับความรู้อย่างเต็มที่
2. มิตรภาพที่ดี",
267,ช,เชียงใหม่,มัธยมศึกษาของรัฐ,หางดงรัฐราษฎร์อุปถัมภ์,เชียงใหม่,,"20,001-30,000 ",ออกแบบผลิตภัณฑ์,3,3,2,3,2,2,3,2,2,2,2,2,3,3,2,2,4,1,2,3,3,3,3,3,3,3,"ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม
ข้อเสนอแนะ  ตึกโรงอาหาร","1. สำเร็จการศึกษา
2. ได้รับความรู้จากสาขาคณะที่เรียนอย่างเต็มที่
3. มิตรภาพจากเพื่อนรุ่นพี่และอาจารย์ที่ดี",
268,ช,พิจิตร,สถาบันอาชีวศึกษา,วิทยาลัยเทคนิคพิจิตร,พิจิตร,2.82,"10,001-20,000",ออกแบบผลิตภัณฑ์,3,3,2,1,3,3,3,3,2,3,3,4,4,4,3,2,5,1,1,1,3,3,3,3,1,2,"ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม
ข้อเสนอแนะ  ค่ารถมหาวิทยาลัยแพงมาก",1. ไม่คาดหวังจะได้ไม่ผิดหวัง,
269,ญ,ตาก,มัธยมศึกษาของรัฐ,ตากพิทยาคม,ตาก,3.55,"10,001-20,000",สถิติประยุกต์ แขนงวิชาวิทยาการข้อมูลเชิงสถิติ,3,3,4,2,4,4,5,5,4,5,4,5,3,4,5,4,5,4,3,1,3,4,4,3,2,5,"ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม
ข้อเสนอแนะ  การเดินทางและที่พักนักศึกษา","1. ความรู้ในการเรียน
2. ได้พูดคุยกับเพื่อนใหม่ๆ
3. ได้รับการทำงานดีๆ
4. ได้รับทุนนักศึกษา
5. จบไปได้ที่ทำงาน",
270,ญ,แพร่,มัธยมศึกษาของรัฐ,นารีรัตน์,แพร่,2.69,"ไม่เกิน 10,000",สถิติประยุกต์ แขนงวิชาวิทยาการข้อมูลเชิงสถิติ,2,2,3,1,2,3,3,3,2,2,2,2,3,3,3,3,1,1,2,1,2,3,3,3,3,3,"ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม
ข้อเสนอแนะ   อยากให้เข้าไปเรียนที่ศูนย์แม่ริมเร็วที่สุดพร้อมคณะครุศาสตร์","1. ช่วยเหลือนักศึกษาให้มากที่สุด
2. อยากให้มหาวิทยาลัยรีบย้ายไปศูนย์แม่ริมให้เร็วมากที่สุด",อยากให้จัดการเรียนการสอนที่ศูนย์แม่ริมพร้อมครุศาสตร์
271,ญ,เชียงราย,มัธยมศึกษาของรัฐ,แม่เจดีย์วิทยาคม,เชียงราย,3.26,"ไม่เกิน 10,000",สถิติประยุกต์ แขนงวิชาวิทยาการข้อมูลเชิงสถิติ,4,4,5,4,4,5,5,4,3,3,3,4,2,3,4,4,4,2,3,4,3,4,4,5,4,3,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,1. จบมามีงานทำ,
272,ญ,ขอนแก่น,มัธยมศึกษาของรัฐ,น้ำพองศึกษา,ขอนแก่น,3.40,"20,001-30,000 ",อาชีวอนามัยและความปลอดภัย,4,4,5,2,5,5,5,5,4,5,5,5,5,5,5,3,3,3,3,3,5,5,5,5,5,5,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,"1. เรียนจบมีงานรองรับ
2. เรียนตรงตามหลักสูตร",
273,ญ,เชียงใหม่,มัธยมศึกษาของรัฐ,จอมทอง,เชียงใหม่,2.86,"10,001-20,000",อาชีวอนามัยและความปลอดภัย,4,4,5,5,5,4,,5,4,5,5,5,4,5,4,4,5,4,5,4,5,5,5,4,5,5,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,"1. จะได้รับความรู้จนได้งานทำและเรียนจบ
2. มีเพื่อน  พี่ๆ  และอาจารย์ที่ดี
3. ได้รับกำลังใจและสามารถเรียนจนจบได้",
274,ญ,น่าน,มัธยมศึกษาของรัฐ,,,2.82,"ไม่เกิน 10,000",อาชีวอนามัยและความปลอดภัย,4,4,4,1,3,5,5,5,5,5,5,5,3,3,4,4,5,2,1,1,3,1,1,,2,5,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,"1. ต้องเรียนให้จบ
2. หวังว่าจบคณะนี้ไปจะมีงานทำอย่างมีความสุข",
275,ญ,ตาก,มัธยมศึกษาของรัฐ,บ้านตาก ประชาวิทยาคาร,ตาก,3.31,"ไม่เกิน 10,000",อาชีวอนามัยและความปลอดภัย,5,4,5,4,4,4,5,5,5,5,5,5,4,4,4,4,3,4,4,4,4,4,4,4,4,4,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,"1. นำไปใช้ในอนาคต
2. นำไปประยุกต์ใช้",
276,ช,เชียงใหม่,มัธยมศึกษาของเอกชน,วชิราลัย,เชียงใหม่,3.91,"30,001 ขึ้นไป",เทคโนโลยีวิศวกรรมก่อสร้าง,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,,
277,ช,ลำพูน,สถาบันอาชีวศึกษา,เทคโนโลยีหมู่บ้านครูภาคเหนือ,ลำพูน,,"20,001-30,000 ",เทคโนโลยีวิศวกรรมก่อสร้าง,5,4,4,5,4,5,4,5,4,4,4,4,5,4,4,3,4,4,4,3,3,4,4,4,3,4,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,,
